,Entity Name,Latitude,Longitude
0,GOLDEN OWLS BROTHERS INC         ,40.781941,-73.94878
1,100 PRESTIGE DELI CORP           ,40.864627,-73.927815
2,100 ST QUICK 24 HR DELI INC      ,40.797317,-73.970162
3,101 FINEST DELI INC              ,40.814809,-73.940429
4,101 LENOX GOURMET DELI CORP      ,40.801467,-73.950175
5,101 NEWSTAND INC                 ,40.709002,-74.009009
6,101 SMOKE SHOP CORP              ,40.798014,-73.969202
7,103 MANHATTAN AVE GROCERY CORP   ,40.796611,-73.962961
8,104 BROADWAY FARMS INC           ,40.799742,-73.968329
9,105 DELI & GRILL INC             ,40.79993,-73.966093
10,106 99 CENTS CORP                ,40.802291,-73.950314
11,106 CANDY & CONVENIENCE CORP     ,40.791007,-73.94335
12,106 COLUMBIA DELI CORP           ,40.800718,-73.965524
13,106 FAMILY DELI & GROCERY INC    ,40.79017,-73.941363
14,106 FRANKLIN DELI & GROCERY INC  ,40.789853,-73.940605
15,107 DELI & GRILL INC             ,40.801268,-73.965114
16,109 SPICY GOURMET DELI INC       ,40.802237,-73.964391
17,10TH AVE PETROLEUM LLC           ,40.756122,-73.998042
18,10TH STREET FOOD CORP            ,40.725992,-73.977803
19,1128 DELI & GRILL INC            ,40.801996,-73.957141
20,116 DISCOUNT INC                 ,40.799729,-73.944226
21,116 STREET MARINI DELI GROCERY CO,40.798405,-73.941784
22,116TH STREET FOOD FOR LESS INC   ,40.799061,-73.942645
23,119 A R GROCERY CORP             ,40.861392,-73.92916
24,121 CONVENIENCE DELI CORP        ,40.802476,-73.950752
25,LENOX GOURMET DELI&GRCY CORP     ,40.805089,-73.947539
26,121 NEW YORK DELI GROCERY CORP   ,40.802102,-73.939073
27,FERNANDEZ JORGE                  ,40.719204,-73.985959
28,124 DELI GROCERY INC             ,40.713896,-73.992096
29,1252 DELI GROCERY CORP           ,40.843995,-73.937622
30,125 FOOD MART INC                ,40.814136,-73.956997
31,126 CANDY GROCERY CORP           ,40.811201,-73.950419
32,1272-1278 ST NICHOLAS AVENUE LLC ,40.844759,-73.937068
33,128 GOURMET DELI CORP            ,40.806763,-73.937137
34,128 P&L DELI GROCERY CORP        ,40.842738,-73.936727
35,128 T EDGECOMBE DELI CORP        ,40.820973,-73.945029
36,BURGOS JUAN R                    ,40.864675,-73.919735
37,132 VERMILYEA DELI & GROCERY CORP,40.866625,-73.92099
38,1338 FOOD INC                    ,40.846618,-73.93571
39,134TH STREET DELI GROCERY CORP   ,40.814599,-73.944098
40,135TH STREET DELI & GROCERY CORP ,40.816238,-73.945912
41,1408 GOURMET DELI CORP           ,40.84896,-73.933995
42,140 CHARLES OASIS GOURMET INC    ,40.734147,-74.008111
43,141 FINEST DELI CORP             ,40.820882,-73.945164
44,143 N EXPRESS DELI CORP          ,40.821707,-73.942749
45,NASHEL NAGI                      ,40.769485,-73.954771
46,144 DELI GROCERY STORE CORP      ,40.86128,-73.925621
47,145 DELI&GROCERY INC             ,40.825112,-73.947698
48,U MART INC                       ,40.822069,-73.940089
49,147 SPICY DELI INC               ,40.823281,-73.937978
50,148 DELI GROCERY INC             ,40.824863,-73.940452
51,148 FOOD PLAZA INC               ,40.828137,-73.949079
53,14TH ST CANDY&GROCERY INC        ,40.731219,-73.982258
54,150 MARKET INC                   ,40.709634,-74.006348
55,1514 SMART GOURMET INC           ,40.818667,-73.952415
56,1517 DELI GROCERY CORP           ,40.852276,-73.931568
