,Method of Operation,Premise Name,Premise Address,Premise City
5,"BAR/TAVERN SELLING WINE, BEER AND CIDER",RECEPTION BAR INC,45 ORCHARD ST,NEW YORK
7,BAR/TAVERN SERVING WINE BEER AND CIDER,CHALAIT CHELSEA LLC,75 9TH AVE ,NEW YORK
13,TAVERN SERVING WINE CIDER AND BEER,485 KINGS CORP,485 KINGS HGWY,BROOKLYN
15,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,SD HOSPITALITY CORP,637 10TH AVENUE,NEW YORK
33,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,MAGEE MAHON CAFE INC,58 W 48TH STREET,NEW YORK
42,TAVERN SERVING BEER CIDER WINE AND LIQUOR,ROUGHLOCK LLC,127 WEST 26TH STREET,NEW YORK
51,TAVERN RESTAURANT SERVING BEER WINE CIDER & LIQUOR,384 3RD AVE REST LLC,384 THIRD AVE,NEW YORK
53,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",TRUMP RESTAURANTS LLC,725 FIFTH AVENUE,NEW YORK
60,"RESTAURANT/BAR LIQUOR, WINE, BEER, & CIDER",THIRD AVE CAFE LLC,431 & 433 3RD AVENUE,NEW YORK
63,"TAVERN RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",RIOMAR CORP,324 SPRING STREET,NEW YORK
65,CABARET SERVING LIQUOR WINE BEER AND CIDER,512 W42 RETAIL LLC & CACHET HOTEL GROUP LIMITED,512 W 42ND ST,NEW YORK
67,"RESTAURANT/BAR SERVING LIQUOR, WINE, BEER AND CIDER     ",EPSILON 493 CORP,493 3RD AVE,NEW YORK
71,TAVERN SERVING BEER WINE CIDER AND LIQUOR,SWEET RANGER INC,14B ORCHARD ST,NEW YORK
77,TAVERN SERVING LIQUOR WINE AND BEER CIDER,KRAINE GALLERY BAR INC,85 E 4TH STREET,NEW YORK
95,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",MICHAEL KING INC,1361 1ST AVENUE,NEW YORK
97,"TAVERN BAR SERVING LIQUOR, WINE, BEER AND CIDER",LOCAL & VINE CO CORP,282 HUDSON ST ,NEW YORK
100,"BAR/TAVERN SERVING BEER. WINE, LIQUOR, & CIDER",BROTHERS HARVEY LLC,70 UNIVERSITY PL,NEW YORK
105,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,EAR INN INC,326 SPRING ST,NEW YORK
107,"OUTDOOR TAVERN SERVING BEER, WINE CIDER AND LIQUOR",MASTERPIECE CATERERS CORP,55 WATER ST,NEW YORK
118,TAVERN WITH ART CLASSES SERVING WINE AND BEER CIDER,PAINT & SIP STUDIO NY LLC ,246 W 80TH ST,NEW YORK 
122,"BAR SERVING LIQUOR,WINE, BEER AND CIDER",EL JEFE EATERY GROUP INC,186 DYCKMAN ST,NEW YORK
133,TAVERN SERVING LIQUOR CIDER WINE & BEER,BROADWAY 55TH LLC & STRATEGIC DREAM ,210 W 55TH ST GROUND FL EAST,NEW YORK
134,"BAR/KARAOKE LOUNGE SERVING LIQUOR, WINE, BEER AND CIDER",TOP KARAOKE & BAR INC,34 W 32ND ST ,NEW YORK 
135,"TAVERN SERVING LIQUOR, WINE, BEER AND CIDER ",WEBSTER GLOBAL HOLDINGS LLC,1 E 28TH ST,NEW YORK
136,BAR/TAVERN SERVING BEER CIDER AND WINE,THE UNCOMMONS LLC ,230 THOMPSON ST ,NEW YORK 
141,TAVERN SERVING BEER WINE AND LIQUOR CIDER,REDD ROVER GROUP LLC,221 E 58TH STREET,NEW YORK
143,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",123 WEST 39TH REST CORP,123 W 39TH ST AKA 1412 BROADWA,NEW YORK
152,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",NINTH AVENUE SALOON INC,627 9TH AVENUE,NEW YORK
154,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,G G P BAR & GRILL CORP,372 8TH AVENUE,NEW YORK
158,"TAVERN SERVING BEER, WINE AND LIQUOR CIDER",DOWNTOWN DINING LLC,5 AVENUE A,NEW YORK
168,"TAVERN RESTAURANT SERVNIG LIQUOR, WINE, BEER, & CIDER",EAST OF HARLEM LLC,271 W 119TH ST #2,NEW YORK
172,TAVERN SERVING LIQUOR WINE CIDER AND BEER ,LEXINGTON BAR & BOOKS LTD,1020 LEXINGTON AVE,NEW YORK
181,TAVERN SERVING LIQUOR WINE AND BEER CIDER,VARIETY ENTERTAINMENT GROUP LLC,189 CHRYSTIE STREET,NEW YORK
185,CLUB TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"YALE CLUB OF NEW YORK CITY,THE",50 VANDERBILT AVE,NEW YORK
196,"CABARET SERVING LIQUOR, WINE, BEER & CIDER",FACILITY CONCESSION SERVICES INC,119 125 E 11TH ST,NEW YORK
218,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",GERASIMOS ENTERPRISES INC,25 CEDAR ST,NEW YORK
226,TAVERN SERVING LIQUOR WINE AND BEER CIDER,BRANDY LIBRARY LOUNGE LLC,25 NORTH MOORE STREET 1A,NEW YORK
233,CLUB TAVERN SERVING BEER WINE CIDER AND LIQUOR,"COSMOPOLITAN CLUB,THE",122 E 66TH ST & 129 E 65TH ST,NEW YORK
238,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,220 W 45TH STREET,NEW YORK
239,TAVERN SERVING WINE CIDER & BEER,"NEW 42ND STREET INC, THE",229 W 42ND ST,NEW YORK
252,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,1412 BROADWAY ROOFTOP LLC,1412 BROADWAY,NEW YORK
253,"BAR SERVING LIQUOR, WINE, BEER & CIDER","GREEN BROOKLYN LLC, THE",252 W 14TH ST,NEW YORK
255,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,HORSHOES INC,611 9TH  AVENUE,NEW YORK
261,"BAR/TAVERN SERVING BEER, WINE AND CIDER",HOTEL TORTUGA INC,246 E 14TH ST,NEW YORK
263,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,LIHOU LLC,964 966 LEXINGTON AVE,NEW YORK
270,"BAR/TAVERN SERVING WINE, BEER & CIDER",GOOSE BARNACLE LLC,91 ATLANTIC AVE,BROOKLYN
278,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",1862 HOSPITALITY LLC,503 505 E 12TH ST,NEW YORK
279,"TAVERN SERVING BEER, WINE, & CIDER",ALIDORO II LLC,260 MADISON AVE,NEW YORK
281,NIGHTCLUB - RESTAURANT SELLING ON PREMISE ALCOHOL SECOND AND THIRD FLOOR,760 8TH AVE REST INC,760 766 8TH AVE AKA 268 W 47,NEW YORK
288,"BAR/TAVERN SERVING BEER, CIDER  WINE AND LIQUOR",126 HAMILTON PLACE LLC,500 W 143RD ST,NEW YORK
290,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",NEW YORK CHAPTER OF THE AMERICAN,534 LAGUARDIA PLACE,NEW YORK
291,"BAR/TAVERN SERVING WINE, BEER AND CIDER     ",CHIN & SUE INC,310 E 44TH ST,NEW YORK
292,TAVERN SERVING BEER CIDER LIQUOR & WINE ,322 E 14TH STREET CORP,322 E 14TH ST,NEW YORK
297,TAVERN RESTAURANT SERVING CIDER BEER WINE & LIQUOR,PMC CORP,354 3RD AVENUE,NEW YORK
301,"BAR/TAVERN WITH ADULT ENTERTAINMENT SERVING LIQUOR, WINE, BEER AND CIDER",689 EATERY CORP,689 8TH AVE ,NEW YORK
302,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",75 ST MARKS PLACE LLC ,75 ST MARKS PL,NEW YORK
313,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",TWO BIG BOYS INC,405 WEST 51ST STREET,NEW YORK
319,"SUMMER TAVERN SELLING BEER, WINE AND CIDER",KONKAPOT ENTERTAINMENT INC,60 CHELSEA PIERS,NEW YORK
320,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",BG BAR INC,113 LUDLOW ST,NEW YORK
326,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,RBSB LLC,185 CHRISTOPHER ST,NEW YORK
338,CLUB TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,HARMONIE CLUB OF THE CITY OF NEW YORK,4 E 60TH STREET,NEW YORK
363,"INDOOR GOLF/BAR SERVING LIQUOR, WINE BEER AND CIDER     ","RANGE NYC LLC, THE",22 STONE STREET ,NEW YORK
