,Unnamed: 0,Method of Operation,Premise Name,Premise Address,Premise City,lat,lon
0,5,"BAR/TAVERN SELLING WINE, BEER AND CIDER",RECEPTION BAR INC,45 ORCHARD ST,NEW YORK,40.7163474,-73.99134665
1,7,BAR/TAVERN SERVING WINE BEER AND CIDER,CHALAIT CHELSEA LLC,75 9TH AVE,NEW YORK,40.7420513,-74.0048973
2,13,TAVERN SERVING WINE CIDER AND BEER,485 KINGS CORP,485 KINGS HWY,BROOKLYN,40.604498,-73.9737137
3,15,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,SD HOSPITALITY CORP,637 10TH AVENUE,NEW YORK,40.7617087,-73.9941785
4,33,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,MAGEE MAHON CAFE INC,58 W 48TH STREET,NEW YORK,40.7581616,-73.9805063
5,42,TAVERN SERVING BEER CIDER WINE AND LIQUOR,ROUGHLOCK LLC,127 WEST 26TH STREET,NEW YORK,40.7454963,-73.9925139
6,51,TAVERN RESTAURANT SERVING BEER WINE CIDER & LIQUOR,384 3RD AVE REST LLC,384 THIRD AVE,NEW YORK,42.98104111,-78.70179876
7,53,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",TRUMP RESTAURANTS LLC,725 FIFTH AVENUE,NEW YORK,42.7976632,-73.9527343
8,60,"RESTAURANT/BAR LIQUOR, WINE, BEER, & CIDER",THIRD AVE CAFE LLC,431 & 433 3RD AVENUE,NEW YORK,42.77007691,-73.67815665
9,63,"TAVERN RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",RIOMAR CORP,324 SPRING STREET,NEW YORK,40.72583575,-74.00942293
10,65,CABARET SERVING LIQUOR WINE BEER AND CIDER,512 W42 RETAIL LLC & CACHET HOTEL GROUP LIMITED,512 W 42ND ST,NEW YORK,40.759615,-73.995669
11,67,"RESTAURANT/BAR SERVING LIQUOR, WINE, BEER AND CIDER     ",EPSILON 493 CORP,493 3RD AVE,NEW YORK,40.7452042,-73.9782411
12,71,TAVERN SERVING BEER WINE CIDER AND LIQUOR,SWEET RANGER INC,14B ORCHARD ST,NEW YORK,41.92472631,-73.99096448
13,77,TAVERN SERVING LIQUOR WINE AND BEER CIDER,KRAINE GALLERY BAR INC,85 E 4TH STREET,NEW YORK,40.7266291,-73.98977363
14,95,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",MICHAEL KING INC,1361 1ST AVENUE,NEW YORK,40.7686654,-73.9555995
15,97,"TAVERN BAR SERVING LIQUOR, WINE, BEER AND CIDER",LOCAL & VINE CO CORP,282 HUDSON ST,NEW YORK,40.7252899,-74.0074819
16,100,"BAR/TAVERN SERVING BEER. WINE, LIQUOR, & CIDER",BROTHERS HARVEY LLC,70 UNIVERSITY PL,NEW YORK,40.73321195,-73.99375335
17,105,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,EAR INN INC,326 SPRING ST,NEW YORK,40.7259033,-74.0094874
18,107,"OUTDOOR TAVERN SERVING BEER, WINE CIDER AND LIQUOR",MASTERPIECE CATERERS CORP,55 WATER ST,NEW YORK,40.7032228,-74.009063
19,118,TAVERN WITH ART CLASSES SERVING WINE AND BEER CIDER,PAINT & SIP STUDIO NY LLC ,246 W 80TH ST,NEW YORK ,40.7845794,-73.979868
20,122,"BAR SERVING LIQUOR,WINE, BEER AND CIDER",EL JEFE EATERY GROUP INC,186 DYCKMAN ST,NEW YORK,40.86436975,-73.92692945
21,133,TAVERN SERVING LIQUOR CIDER WINE & BEER,BROADWAY 55TH LLC & STRATEGIC DREAM,210 W 55TH ST GROUND FL EAST,NEW YORK,40.7644127,-73.9841423
22,134,"BAR/KARAOKE LOUNGE SERVING LIQUOR, WINE, BEER AND CIDER",TOP KARAOKE & BAR INC,34 W 32ND ST,NEW YORK ,40.74769855,-73.98734365
23,135,"TAVERN SERVING LIQUOR, WINE, BEER AND CIDER ",WEBSTER GLOBAL HOLDINGS LLC,1 E 28TH ST,NEW YORK,40.744615,-73.9868859
24,136,BAR/TAVERN SERVING BEER CIDER AND WINE,THE UNCOMMONS LLC ,230 THOMPSON ST,NEW YORK ,40.72933745,-73.9986608
25,141,TAVERN SERVING BEER WINE AND LIQUOR CIDER,REDD ROVER GROUP LLC,221 E 58TH STREET,NEW YORK,40.64437165,-74.02102769
