,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage
0,3021099,211 North End Avenue #12A,"['40.71628546,-74.01546103']",4600,1.0,1.0,860.0
1,3020988,150 East 39th Street #601,"['40.74890137,-73.97660065']",2650,0.0,1.0,0.0
2,3026635,257 West 136th Street #4AA,"['40.81700815,-73.94508554']",2195,2.0,1.0,0.0
3,3026633,272 West 139th Street #3A,"['40.81876179,-73.9446072']",2650,2.0,1.0,0.0
4,3026626,408 West 34th Street #6E,"['40.75329123,-73.9971017']",1975,0.0,1.0,0.0
5,3026621,47 West 88th Street #4A,"['40.78749503,-73.96993322']",2350,1.0,1.0,0.0
6,3026616,2147 Second Avenue #5A,"['40.79360168,-73.94066629']",2565,2.0,1.0,0.0
7,3026611,516 East 78th Street #4A,"['40.77019882,-73.9496994']",2200,0.0,1.0,0.0
8,3026608,2 Clinton Street #6C,"['40.72117927,-73.98382714']",4300,3.0,1.0,0.0
9,3026607,279 East 44th Street #7H,"['40.75152284,-73.97138232']",2700,0.0,1.0,550.0
10,3026603,463 West 43rd Street #S2,"['40.76026828,-73.99459987']",3895,3.0,1.0,0.0
11,3026600,463 West 43rd Street #W5,"['40.76026828,-73.99459987']",3795,3.0,1.0,0.0
12,3026588,58 West 58th Street #18E,"['40.76449966,-73.97619629']",5999,2.0,1.0,1.0
13,3022514,315 West 33rd Street #30A,"['40.75226186,-73.99461495']",6203,2.0,2.0,964.0
14,3021660,666 West End Avenue #8GH,"['40.79270172,-73.97450256']",10495,3.0,2.0,0.0
15,3026583,128 East 62nd Street #4A,"['40.76415587,-73.96752511']",2800,1.0,1.0,0.0
16,3026579,188 Columbus Avenue #3RN,"['40.77519989,-73.98079681']",3799,1.0,1.0,0.0
17,3026576,22 Saint Nicholas' Place #23A,"['40.82772184,-73.94165484']",2195,2.0,1.0,0.0
18,3026572,135 West 75th Street #4R,"['40.78019051,-73.97874686']",3075,1.0,1.0,0.0
19,3026570,409 West 50th Street #3B,"['40.76395686,-73.98948432']",2000,1.0,1.0,0.0
20,3026543,101 West 104th Street #7A,"['40.79821147,-73.96389311']",3400,2.0,1.0,0.0
21,3026542,66 West 106th Street #3C,"['40.79875172,-73.96244809']",2400,1.0,1.0,0.0
22,3026539,160 East 64th Street #3F,"['40.76505837,-73.96571246']",2150,0.0,1.0,0.0
23,3026531,160 East 64th Street #4R,"['40.76505837,-73.96571246']",2132,0.0,1.0,0.0
24,3026529,20 Exchange Place #1322,"['40.70546076,-74.0095687']",2595,0.0,1.0,500.0
25,3026528,245 West 51st Street #1001,"['40.76282276,-73.984835']",2695,0.0,1.0,0.0
26,2991714,50 East 28th Street #6M,"['40.74369812,-73.98509979']",4390,1.0,1.0,598.0
27,3020218,435 West 31st Street #39C,"['40.75230026,-73.99839783']",5363,2.0,2.0,1.0
28,3026524,200 Waverly Place #11,"['40.73485202,-74.00171396']",5195,3.0,1.0,700.0
29,3026519,510 Amsterdam Avenue #3A,"['40.78690359,-73.97599301']",3600,2.0,1.0,0.0
30,3026512,154 West 70th Street #3R,"['40.77667226,-73.98166174']",7300,3.0,2.0,0.0
31,3026508,7 West 21st Street #506,"['40.74089813,-73.9910965']",3951,0.0,1.0,0.0
32,3026506,608 West 148th Street #24,"['40.82839261,-73.94973745']",3250,3.0,1.0,740.0
33,3026485,265 East 66th Street #5F,"['40.76580048,-73.96160126']",5700,1.0,1.0,1.0
34,3026483,1571 Lexington Avenue #31,"['40.78869239,-73.94852876']",2595,2.0,1.0,0.0
35,3026482,111 First Avenue #3A,"['40.72694905,-73.98611315']",2700,2.0,1.0,0.0
36,3026474,59 West 73rd Street #2B,"['40.778124,-73.977647']",3750,2.0,2.0,0.0
37,3026460,20 Avenue C #1B,"['40.72117055,-73.98069935']",4695,3.0,1.0,0.0
38,3026456,344 East 61st Street #4,"['40.76088775,-73.96142622']",2195,1.0,1.0,0.0
39,3019716,333 East 5th Street #A2,"['40.72636181,-73.98739407']",3250,1.0,1.0,0.0
40,2979032,200 E 87th Street #14L,"['40.77909851,-73.95330048']",2954,0.0,1.0,0.0
41,3026452,1225 Park Avenue #16C,"['40.78588623,-73.95249231']",6000,2.0,2.0,0.0
42,3026449,344 West 49th Street #5F,"['40.76238681,-73.9888745']",4495,2.0,2.0,0.0
43,3026442,525 West End Avenue #8H,"['40.78855094,-73.97859252']",7050,2.0,2.0,0.0
44,3026431,43 Jane Street #5FE,"['40.7383213,-74.00472356']",4295,2.0,1.0,650.0
45,3026425,163 West 71st Street #2FR,"['40.7777838,-73.9812101']",2560,0.0,1.0,0.0
46,3026419,751 E 6th Street #5P,"['40.72270989,-73.97718736']",2654,0.0,1.0,0.0
47,3026414,453 Fdr #C1303,"['40.71289825,-73.97889709']",3300,1.0,1.0,0.0
48,3026413,43 West 68th Street #4AA,"['40.77450076,-73.97924692']",3150,2.0,1.0,0.0
49,3026411,53 Pitt Street #1BA,"['40.71765765,-73.98318587']",6500,4.0,2.0,1.0
50,3026410,530 East 13th Street #22,"['40.72892155,-73.97954615']",3100,2.0,1.0,0.0
51,3026402,354 East 66th Street #4F,"['40.7639803,-73.9591935']",5600,4.0,2.0,0.0
52,2991254,260 W 54th Street #11C,"['40.7643013,-73.98410034']",3712,1.0,1.0,0.0
53,3015958,336 West 95th Street #C,"['40.79510117,-73.97540283']",3046,1.0,1.0,588.0
54,3026401,220 Park Avenue South #B3,"['40.73714337,-73.98894367']",3795,0.0,1.0,0.0
55,3026399,427 Fort Washington Avenue #5F,"['40.84958217,-73.93917414']",2395,2.0,1.0,0.0
56,3026398,60 West 23rd Street #2003,"['40.74229813,-73.99250031']",6495,2.0,2.0,0.0
57,3026393,1457 Third Avenue #5N,"['40.77629852,-73.95549774']",5200,4.0,2.0,0.0
58,3026389,42 West 58th Street #506,"['40.76431433,-73.97566543']",3500,1.0,1.0,818.0
59,3026388,780 Greenwich Street #5E,"['40.73669815,-74.00679779']",5795,1.0,1.0,0.0
60,3026387,137A Christopher Street #2B,"['40.73315555,-74.00715515']",2600,0.0,1.0,350.0
61,3026382,42 West 58th Street #501,"['40.76431433,-73.97566543']",3300,1.0,1.0,842.0
62,3026381,118 East 93rd Street #10,"['40.78409151,-73.95329885']",6000,4.0,3.0,0.0
63,3026380,191 Avenue A #2,"['40.72909927,-73.98169708']",5400,3.0,2.0,0.0
64,3026377,322 East 61st Street #2B,"['40.76119995,-73.96240234']",2599,1.0,1.0,0.0
65,3023274,445 W 35th Street #4E,"['40.75519943,-73.99720001']",2969,0.0,1.0,0.0
66,3013363,444 West 19th Street #202,"['40.74459839,-74.00509644']",7000,1.0,1.0,850.0
67,3026375,424 West 53rd Street #6,"['40.76572168,-73.98901835']",5200,3.0,2.0,932.0
68,3026373,40 Broad Street #PH2A,"['40.70600128,-74.01180267']",4800,1.0,1.0,920.0
69,3026370,328 East 48th Street #3A,"['40.75289165,-73.96827051']",2000,1.0,1.0,0.0
70,3026369,167 East 90th Street #2C,"['40.7818985,-73.95269775']",3699,2.0,1.0,0.0
71,3024289,155 W 68th Street #706,"['40.77610016,-73.98280334']",3999,2.0,1.0,0.0
72,3026365,164 East 85th Street 5--EAST,"['40.77827075,-73.95538269']",2900,2.0,1.0,0.0
73,3026362,2294 Frederick Douglass Boulevard #4A,"['40.80895533,-73.95165223']",1800,0.0,1.0,0.0
74,3026360,101 Charles Street #2RW,"['40.73474486,-74.00549549']",2800,1.0,1.0,0.0
75,3026359,2294 Fred Douglas Boulevard #3C,"['40.80895533,-73.95165223']",2500,2.0,1.0,850.0
76,3026339,305 West 18th Street #5B,"['40.74269867,-74.00119781']",3800,1.0,1.0,562.0
77,3026357,310 East 44th Street #1703,"['40.75049973,-73.97049713']",3725,1.0,1.0,0.0
78,2951882,260 W 52nd Street #8F,"['40.76319885,-73.98490143']",4015,1.0,1.0,776.0
79,3020368,260 West 54th Street #34B,"['40.7643013,-73.98410034']",3895,1.0,1.0,778.0
80,3026328,330 East 15th Street #10,"['40.7323284,-73.98336258']",2200,1.0,1.0,400.0
81,3026324,303 West 66th Street #1GE,"['40.77659988,-73.98760223']",4800,2.0,1.0,0.0
82,3026320,140 West 19th Street #5A,"['40.7410112,-73.99653207']",2700,0.0,1.0,0.0
83,3026318,203 East 33rd Street #16A,"['40.74506864,-73.97801463']",3000,2.0,1.0,0.0
84,3026317,203 East 33rd Street #3A,"['40.74506864,-73.97801463']",4600,3.0,2.0,0.0
85,3026316,140 West 19th Street #4B,"['40.7410112,-73.99653207']",2745,0.0,1.0,0.0
86,3026315,415 East 37th Street #16N,"['40.74569021,-73.97122965']",3500,1.0,1.0,866.0
87,3026314,138 Bowery #8G,"['40.71920013,-73.99490356']",3200,1.0,1.0,0.0
88,3026307,730 Riverside Drive #4A,"['40.8303659,-73.94936377']",3900,3.0,1.0,0.0
89,3026304,776 Sixth Avenue #12N,"['40.74480057,-73.99089813']",2995,0.0,1.0,431.0
90,3026298,121 West 120th Street #4R,"['40.80527345,-73.94886271']",2495,1.0,1.0,550.0
91,2959149,21 West End Avenue #2704,"['40.772765,-73.990313']",5160,1.0,1.0,0.0
92,2971056,377 East 33rd Street #10A,"['40.74349976,-73.97419739']",3483,1.0,1.0,531.0
93,3026293,185 Christopher Street #2,"['40.73268601,-74.00973137']",6300,3.0,1.0,0.0
94,3026289,888 Main Street #225,"['40.76229858,-73.94950104']",4048,2.0,2.0,915.0
95,3026281,28 West 73rd Street #4BB,"['40.77748121,-73.97743706']",3675,2.0,1.0,0.0
96,3026278,67 West 73rd Street #1B,"['40.77820317,-73.97794953']",2690,1.0,1.0,0.0
