,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
0,0,3021099,211 North End Avenue #12A,"['40.71628546,-74.01546103']",4600,1.0,1.0,860.0,40.71628546,-74.01546103,Apartment,5,1,20,26,0,430,-1.1169854887898725,-0.9617818626180654,-1.153283180354634,-0.9094753396655498,-0.7653006892653381,0.18303524260629953,3021099
1,1,3020988,150 East 39th Street #601,"['40.74890137,-73.97660065']",2650,0.0,1.0,0.0,40.74890137,-73.97660065,Apartment,20,8,153,108,3,514,0.30487638521511173,-0.13772118992021917,-0.21763682774978263,0.34350189307331547,-0.32111104731444395,0.6618421134038744,3020988
2,2,3026635,257 West 136th Street #4AA,"['40.81700815,-73.94508554']",2195,2.0,1.0,0.0,40.81700815,-73.94508554,Apartment,21,6,236,12,6,561,0.39966717681544406,-0.3731670964053181,0.3662627757555006,-1.1233982818404782,0.12307859463645016,0.929745957778708,3026635
3,3,3026633,272 West 139th Street #3A,"['40.81876179,-73.9446072']",2650,2.0,1.0,0.0,40.81876179,-73.9446072,Apartment,17,4,297,13,2,554,0.020504010414114888,-0.608613002890417,0.7953938096569738,-1.108118071685126,-0.4691742612980753,0.8898453852122434,3026633
4,4,3026626,408 West 34th Street #6E,"['40.75329123,-73.9971017']",1975,0.0,1.0,0.0,40.75329123,-73.9971017,Apartment,8,5,239,71,0,210,-0.8326131139888757,-0.49089004964786753,0.38736758070147465,-0.22186588267470914,-0.7653006892653381,-1.07098275233973,3026626
5,5,3026621,47 West 88th Street #4A,"['40.78749503,-73.96993322']",2350,1.0,1.0,0.0,40.78749503,-73.96993322,Apartment,8,0,92,16,5,583,-0.8326131139888757,-1.0795048158606149,-0.6467678616512559,-1.06227744121907,-0.02498461934718122,1.055147757273311,3026621
6,6,3026616,2147 Second Avenue #5A,"['40.79360168,-73.94066629']",2565,2.0,1.0,0.0,40.79360168,-73.94066629,Apartment,24,1,155,34,0,289,0.6840395516164409,-0.9617818626180654,-0.20356695778579992,-0.7872336584227337,-0.7653006892653381,-0.6206762905182013,3026616
7,7,3026611,516 East 78th Street #4A,"['40.77019882,-73.9496994']",2200,0.0,1.0,0.0,40.77019882,-73.9496994,Apartment,10,0,86,21,0,399,-0.6430315307882111,-1.0795048158606149,-0.688977471543204,-0.9858763904423099,-0.7653006892653381,0.0063327069548135394,3026611
8,8,3026608,2 Clinton Street #6C,"['40.72117927,-73.98382714']",4300,3.0,1.0,0.0,40.72117927,-73.98382714,Apartment,28,23,389,99,0,485,1.06320271801777,1.6281231087180228,1.4426078280001793,0.20598000167514732,-0.7653006892653381,0.49653974134280693,3026608
9,9,3026607,279 East 44th Street #7H,"['40.75152284,-73.97138232']",2700,0.0,1.0,550.0,40.75152284,-73.97138232,Apartment,12,6,85,120,0,466,-0.45344994758754653,-0.3731670964053181,-0.6960124065251954,0.5268644149375397,-0.7653006892653381,0.38823818723383163,3026607
